mcu,filename,n_samples,n_windows,ambient_temperature,actual_soh,predicted_soh,std_soh,error,abs_pct_error,temp_label,soh_band
mcu7,mcu7/2024-09-08_06.06.08 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,25215,7,40.01845169067383,0.9561329829000664,0.94145268201828,0.011007794179022312,-0.014680300881786401,1.5353827495061705,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-09-08_19.33.36 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,12545,6,39.99504089355469,0.955707516098996,0.9540421366691589,0.007336646784096956,-0.0016653794298370217,0.17425618212512992,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-09-09_05.29.13 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,8826,4,39.996849060058594,0.9552791771596713,0.9422940015792847,0.023469572886824608,-0.012985175580386588,1.3593068802143653,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-09-09_13.56.18 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,24711,7,24.99835205078125,0.9548506359905786,0.9375952482223511,0.01162252202630043,-0.017255387768227548,1.8071295255855917,reference (23-27C),SoH > 85%
mcu7,mcu7/2024-09-10_02.31.37 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,12167,6,25.018707275390625,0.9544245625002042,0.9576008915901184,0.009248204529285431,0.003176329089914165,0.3328004343888085,reference (23-27C),SoH > 85%
mcu7,mcu7/2024-09-10_11.31.41 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,8447,4,24.997135162353516,0.9540036265970345,0.9474177956581116,0.017553940415382385,-0.006585830938922954,0.6903360485551666,reference (23-27C),SoH > 85%
mcu7,mcu7/2024-09-10_20.02.37 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,22883,7,-0.021375732496380806,0.9535904981895554,0.9475035667419434,0.01186573039740324,-0.006086931447612076,0.6383171245066361,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-11_08.52.36 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,11284,5,0.0010997476056218147,0.9531878471862538,0.953105092048645,0.004565343726426363,-8.275513760880315e-05,0.008681933771301295,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-11_18.24.26 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,7502,3,-0.013003299944102764,0.9527983434956155,0.9553877711296082,0.007082283031195402,0.0025894276339926137,0.2717707951183617,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-12_02.56.27 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,22000,7,-9.994733810424805,0.9524246570261272,0.9476220011711121,0.0076768784783780575,-0.004802655855015159,0.5042557245431972,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-12_15.41.55 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,10780,5,-9.992053031921387,0.9520694576862747,0.9538302421569824,0.010112087242305279,0.0017607844707077103,0.18494285857953893,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-13_01.13.14 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,6745,3,-9.994240760803223,0.9517354153845449,0.9599552750587463,0.009584891609847546,0.008219859674201468,0.8636706737323909,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-13_09.25.42 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,22757,7,-0.00441209739074111,0.9514252000294237,0.9473956227302551,0.01168826874345541,-0.00402957729916853,0.42353064634444326,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-13_22.13.11 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,11221,5,0.016126055270433426,0.9511414815293973,0.9527000188827515,0.004036499187350273,0.0015585373533542057,0.16385967635941398,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-09-14_07.44.37 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,7439,3,-0.01581232249736786,0.9508869297929524,0.9535006880760193,0.006500717252492905,0.0026137582830668693,0.2748758239463858,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-10-24_15.23.18 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,25026,7,40.004825592041016,0.9520183420882716,0.9370374083518982,0.010176903568208218,-0.014980933736373436,1.5735971749780004,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-10-25_04.46.04 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,12419,6,39.997291564941406,0.9516734736014071,0.9494573473930359,0.006879191379994154,-0.002216126208371194,0.2328662371963288,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-10-25_14.36.56 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,6115,3,40.00848388671875,0.9512342901879214,0.9535806775093079,0.01734975352883339,0.0023463873213864783,0.2466676554440586,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-10-25_22.18.39 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,24585,7,25.00156593322754,0.9507026769002005,0.9332122802734375,0.009993534535169601,-0.017490396626762994,1.8397336045998154,reference (23-27C),SoH > 85%
mcu7,mcu7/2024-10-26_10.56.38 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,12167,6,25.008277893066406,0.9500805187906302,0.9525530934333801,0.009204095229506493,0.0024725746427499695,0.26024895720389485,reference (23-27C),SoH > 85%
mcu7,mcu7/2024-10-26_19.59.35 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,5926,2,25.0091609954834,0.9493697009115966,0.9481472969055176,0.0025198757648468018,-0.001222404006078981,0.12875953434212337,reference (23-27C),SoH > 85%
